id,winner,game_moves
85,1,e6f4c3c4d3d6f3c2f6e3f5e7d8c6f2e2e1f8e8f7c5d7b4b3c8c7b6a5b5d2g6a6d1h6g5f1c1b2h5h4g4g2g3h2h1h7g1b8h3g7h8g8b7a8a7a4a3a1b1a2
86,1,f5d6c7f4c3c4d3c2b5e3f3c5b4b6c6b3f2g3e2d1e1c8a5a4a3g5d7d2a6f1c1d8g4h5e8f8h4h3e7f7h6a2a1b2b1h7g1g6e6f6g7b7a7a8b8g2h1h2h8g8
87,1,c4c3d3e3f5b4f3f4c2e2d2c1f2g3e1f1d1c6c5b6g5h5a5g4b5a3a4b3h6g6c7a6f6f7d6e7e6c8d8e8d7h7f8g7h8g8b8b7h4h2a8g1h1a7a2b2b1a1g2h3
88,1,d3c3c4e3c2b4c5b5f6b3d2e6a6e1f3b6d1f2f4e2f5c1d7e7f1c7c8f7e8g6d6c6a5g4a4a3d8b8a8f8g8g1b7a7a2b2a1b1h1g7g2g3h7h6h2g5h3h5h4h8
89,1,d3c3c4e3f4d6c6c5b4b5e7b6c2d2a5b3d1e2e6c7e1d7a4f5f7f3g6f6e8d8f8a3a6c1c8f1g5f2g4h5h3h6h4g3h7b7a2b2a1b1g1g2h2g8h8g7b8a8a7h1
90,1,f5d6c7f4f3f6f7d7c4e3c6c3e7c5e6f8d8g5g3g4h4h6h3g6b3b4h5f2h7e8d2e2e1f1a5c2b5a6b6a4c8b7a8h2h1b8g8g7a7h8a3d1g2g1d3b2c1a1a2
91,1,e6f4e3d6g4f6c4d3c3b3b5b4a5d2e2a4d7c2f5c6c7g6f3f2c5b6a3d8e7h4h6f7g5h5h3f8e8c8g3a6b7a7a8b8a2b2g8h8d1c1a1e1b1g2f1h2h1g7g1h7
92,1,c4c3d3e3c2b4c5b5f6b3f2e2f4f3e1c1a4d1d2a3a6a5d6f1b6c6a2f5e6e7g3g6g5h5f8c7d7e8d8b2g4h4f7b8a1c8a8b7a7g2h1h2h3b1g1h6
93,1,c4c3d3e3f5b4e2f3b3e1d2c1a4e6f6c5d1d6f7e7c2c6f2f1f4g3d8e8c7b6b5a6g5g4g6c8a5h6f8d7h4h5h7a3h3g8h2g2h1g1b2a2b7a8a1b8a7g7b1h8
94,1,c4c3d3e3f4d6c7c5c6d7e8f3e6f5d2f7f2e2g6e7g5g4h4g3h3h6e1d8c8f6b6c1f8b5d1c2a4f1h5h7h8a5a6b7g7b8a8h2a7b4h1g8a3b3g2g1b1b2a2a1
95,-1,d3c3c4e3f4d6e6c5c6d7b4b5b3f5f6a4a5b6a3g6e2g3e8c8a7a6d8c7b8f3f7e7f8a8g7h8h7a2b7h6h5h4g5g4g2e1d1f1f2h2g1g8d2c2h1h3b1c1b2a1
96,1,e6f4c3c4d3d6e3c2g4d2c5f5f6c6b5e2b4e7f7g3d1g6f1h3e8d8c8f8g8f2d7f3h4h5b3c7h6a4e1a2c1h7a6a5g5g7b8b7h8b1h2g2a1a7b2a3b6a8g1h1
97,1,f5d6c7f4e3f3g5d3c5g4h3h5c3c4c2d2b4b3d1c1h4b6h6a4b5e1g3f2e2d8f1g1a3a6a5a2b8b2a1b1h1d7a7h2g2c6e6h7h8c8e8e7f8f7g8f6g7b7g6a8
98,1,d3c3c4e3f5b4b3c5c2d2a4b5d6a3a5a6e1c1b6c6f2f3f4g4h4g3e6f1d1c7e2f6h3g2g5h5h6g6d7e7h1h2g1h7h8b1g7f7f8e8b2a2d8c8b8b7a8a7a1g8
99,1,c4c3d3e3f5b4b3c5d2c2a5c1e1d1f4a3a4b5c6a6f2f3b6f1e2g4g5h5e6d7h4g3h6g6d6c7h3g2f7h7h8e8f6g7f8g8e7d8c8b8h1h2g1b1b2a1a2a7b7a8
100,1,f5d6c6f4e6f6d3e7f3e3g3c4f7e2d7e8c5b5f8b6d8h3c3g4h4g6g5h6h5c7b4b3a3a4c8h7h8g8h2b7g7g2d1e1h1f2g1f1d2c1b1c2b2a1a2b8a8a7a6a5
101,1,e6f4e3d6c6c5b4f3f5g6g5d3c2g4e2f2c4e7f8e8d8c7d7f6f7c8h7h6h5h3g3e1d2b5a5c3c1a4d1f1b6h2a3b3b8h4h1b7a8g7g1g2g8h8a7a6b2a1a2b1
102,1,f5d6c5f4e7f6d3c3f3e3f7c6c7g4c2e2f1d2h3f2e1h4h5g3e6g6g5h6c4d1c1e8d7b5c8d8f8b3a5b4a4a3b6g7g1h2h8b7g8h7h1g2a7a8a6b8b2a1a2b1
103,1,f5d6c6f4d7f6g3c5f7e7d8g4c7e6b4g6h4c8e8f8f3d3e3e2g5h5h6h3e1f1d1f2d2c3c4b3b5c1c2a4b6b2a6a5a3a2a1b1g1g7h8b7h7g2g8h2h1b8a8a7
104,1,f5d6c6f4e6f6e3c5g6f3c3e2c4e7g3g4e8d7f7f8d8h6h3h5g5h4d3f2f1c8c7c2d2d1e1g2c1h2b6b5a6b3a3a4a5b4h1g1h7b7a8a7b8a2g8b1a1g7b2h8
105,1,c4c3d3e3f5b4b3c5e2d6c6e6d7b6a4f7e7b5a5a6c7a3c2d2c1d8c8f1e8f2g6g5f4f3e1f8f6d1h4h6g4h5h3b8g3g2h1g1h2b7h7g7h8g8a8a7a2b2b1a1
106,1,e6f4c3c4f3d6f5g5g6f7d7e7h6e3e8g4f6d3d8h5h4f2c2f8b5h3c6d2e1c1d1c5e2c8g3h7b6a5c7g2h1h2h8a6g8g7g1f1b8b7b1b2a2a1a7b4a4a3b3a8
107,1,c4c3d3e3f4d6c7c5c6d7e7f3e6f5d2f7f6e8d8g6f8b6e2c8h5h6a5c2b3b4c1a6g5a2b8g3a4f1b5a3e1f2g4d1h3h4g1b7a8h2a7g2a1g8h1g7h7h8b2b1
108,1,f5d6c5f4e3c6f3g6e6f6g5b5c7d7c8f7e7f8d8e8h6d3b4c4a5e2b6g3c2g4h4h5f1a4d2b8a3c3b3e1a6b1d1c1a1a2b2h7h8g7g8a7a8b7f2g2g1h2h3h1
109,1,e6f4f3d6f5f7e7f8c3g5g4f6e8d3c4d7d2c5c8c7d8c6b8b3g8c2e3e2f2h4h5h3h6f1g3h7d1e1a4c1g6a3b4b5a5a6b6g7b2b7h8g2h2a2a7a8b1a1g1h1
110,1,f5d6c7f4f3f6f7d7c4e3e6e7c8c6d8d3c2d2b5b4c5b6a6f8e8f2a5b8g3g4a3h3g5g6b3a4c3a2a1b1c1b2d1b7g7h7a7e1e2a8f1g8h8h6h4h5h2
111,1,d3c3c4e3f2c5f4e2b6b5f6e6d6f5e1e7e8f7c6c7d7c8a5f3g5g6b4h6h4b3f8h5g4a4d8a6b8h3d2c2c1d1f1g2a3a2g3g1h1b2a1b1a7h2h7g8h8b7g7a8
112,1,d3c3c4e3f4d6c7c5c6d7e6f3b3b4a4b5a5b6e2d2e7f1c1e1a6a3g3f5f6d8c8f2e8h3d1c2g4g6g5h5h4h6g1g7h8f8g8f7h7a7h2b7b1b2a1a2a8b8g2h1
